fpr,tpr
0.000000000000000000e+00,3.962829736211030962e-01
0.000000000000000000e+00,3.968824940047961380e-01
0.000000000000000000e+00,3.986810551558753191e-01
0.000000000000000000e+00,4.010791366906474864e-01
0.000000000000000000e+00,4.016786570743405282e-01
0.000000000000000000e+00,4.034772182254196538e-01
0.000000000000000000e+00,4.046762589928057374e-01
0.000000000000000000e+00,4.064748201438849184e-01
0.000000000000000000e+00,4.076738609112710021e-01
0.000000000000000000e+00,4.094724220623501276e-01
0.000000000000000000e+00,4.112709832134292531e-01
0.000000000000000000e+00,4.136690647482014205e-01
0.000000000000000000e+00,4.148681055155875042e-01
0.000000000000000000e+00,4.184652278177458107e-01
0.000000000000000000e+00,4.196642685851318944e-01
0.000000000000000000e+00,4.262589928057554101e-01
0.000000000000000000e+00,4.298561151079136611e-01
0.000000000000000000e+00,4.304556354916067029e-01
0.000000000000000000e+00,4.424460431654676507e-01
0.000000000000000000e+00,4.454436450839328598e-01
0.000000000000000000e+00,4.472422062350119853e-01
0.000000000000000000e+00,4.478417266187050272e-01
0.000000000000000000e+00,4.496402877697841527e-01
0.000000000000000000e+00,4.538369304556355011e-01
0.000000000000000000e+00,4.550359712230215847e-01
0.000000000000000000e+00,4.556354916067146266e-01
0.000000000000000000e+00,4.568345323741007102e-01
0.000000000000000000e+00,4.586330935251798357e-01
0.000000000000000000e+00,4.610311750599520586e-01
0.000000000000000000e+00,4.628297362110311841e-01
0.000000000000000000e+00,4.640287769784172678e-01
0.000000000000000000e+00,4.664268585131894351e-01
0.000000000000000000e+00,4.676258992805755188e-01
0.000000000000000000e+00,4.718225419664268672e-01
0.000000000000000000e+00,4.736211031175059927e-01
0.000000000000000000e+00,4.802158273381295084e-01
0.000000000000000000e+00,4.826139088729016757e-01
0.000000000000000000e+00,4.838129496402877594e-01
0.000000000000000000e+00,4.874100719424460659e-01
0.000000000000000000e+00,4.886091127098321496e-01
0.000000000000000000e+00,4.898081534772182333e-01
0.000000000000000000e+00,4.904076738609112751e-01
0.000000000000000000e+00,4.922062350119904006e-01
0.000000000000000000e+00,4.934052757793764843e-01
0.000000000000000000e+00,4.952038369304556098e-01
0.000000000000000000e+00,4.958033573141487071e-01
0.000000000000000000e+00,4.976019184652278327e-01
0.000000000000000000e+00,4.982014388489208745e-01
0.000000000000000000e+00,4.994004796163069582e-01
0.000000000000000000e+00,5.011990407673860837e-01
0.000000000000000000e+00,5.023980815347721673e-01
0.000000000000000000e+00,5.041966426858512929e-01
0.000000000000000000e+00,5.053956834532373765e-01
0.000000000000000000e+00,5.059952038369304184e-01
0.000000000000000000e+00,5.083932853717025857e-01
0.000000000000000000e+00,5.095923261390887804e-01
0.000000000000000000e+00,5.107913669064748641e-01
0.000000000000000000e+00,5.119904076738609477e-01
0.000000000000000000e+00,5.137889688249400733e-01
0.000000000000000000e+00,5.155875299760191988e-01
0.000000000000000000e+00,5.179856115107913661e-01
0.000000000000000000e+00,5.197841726618704916e-01
0.000000000000000000e+00,5.209832134292565753e-01
0.000000000000000000e+00,5.215827338129496171e-01
0.000000000000000000e+00,5.227817745803357008e-01
0.000000000000000000e+00,5.245803357314148263e-01
0.000000000000000000e+00,5.257793764988009100e-01
0.000000000000000000e+00,5.281774580335731883e-01
0.000000000000000000e+00,5.293764988009592720e-01
0.000000000000000000e+00,5.299760191846523139e-01
0.000000000000000000e+00,5.311750599520383975e-01
0.000000000000000000e+00,5.329736211031175230e-01
0.000000000000000000e+00,5.347721822541966485e-01
0.000000000000000000e+00,5.359712230215827322e-01
0.000000000000000000e+00,5.371702637889688159e-01
0.000000000000000000e+00,5.383693045563548996e-01
0.000000000000000000e+00,5.395683453237409832e-01
0.000000000000000000e+00,5.413669064748201087e-01
0.000000000000000000e+00,5.419664268585131506e-01
0.000000000000000000e+00,5.437649880095922761e-01
0.000000000000000000e+00,5.443645083932853179e-01
0.000000000000000000e+00,5.455635491606715126e-01
0.000000000000000000e+00,5.485611510791367218e-01
0.000000000000000000e+00,5.521582733812949728e-01
0.000000000000000000e+00,5.527577937649880147e-01
0.000000000000000000e+00,5.539568345323740983e-01
0.000000000000000000e+00,5.581534772182253912e-01
0.000000000000000000e+00,5.605515587529975585e-01
0.000000000000000000e+00,5.623501199040766840e-01
0.000000000000000000e+00,5.635491606714628787e-01
0.000000000000000000e+00,5.653477218225420042e-01
0.000000000000000000e+00,5.683453237410072134e-01
0.000000000000000000e+00,5.695443645083932971e-01
0.000000000000000000e+00,5.767386091127097991e-01
0.000000000000000000e+00,5.791366906474819665e-01
0.000000000000000000e+00,5.821342925659472867e-01
0.000000000000000000e+00,5.833333333333333703e-01
0.000000000000000000e+00,5.851318944844124958e-01
0.000000000000000000e+00,5.875299760191846632e-01
0.000000000000000000e+00,5.887290167865707469e-01
0.000000000000000000e+00,5.911270983213429142e-01
0.000000000000000000e+00,5.929256594724220397e-01
0.000000000000000000e+00,5.941247002398081234e-01
0.000000000000000000e+00,5.953237410071942071e-01
0.000000000000000000e+00,6.025179856115108201e-01
0.000000000000000000e+00,6.043165467625899456e-01
0.000000000000000000e+00,6.067146282973621130e-01
0.000000000000000000e+00,6.121103117505994895e-01
0.000000000000000000e+00,6.145083932853716568e-01
0.000000000000000000e+00,6.151079136690646987e-01
0.000000000000000000e+00,6.163069544364508934e-01
0.000000000000000000e+00,6.175059952038369770e-01
