fpr,tpr
0.000000000000000000e+00,7.571942446043165020e-01
0.000000000000000000e+00,7.583932853717025857e-01
0.000000000000000000e+00,7.625899280575539896e-01
0.000000000000000000e+00,7.637889688249400733e-01
0.000000000000000000e+00,8.273381294964028410e-01
0.000000000000000000e+00,8.285371702637889246e-01
0.000000000000000000e+00,9.766187050359712574e-01
1.390820584144645275e-03,9.766187050359712574e-01
1.390820584144645275e-03,9.868105515587529686e-01
2.781641168289290551e-03,9.868105515587529686e-01
2.781641168289290551e-03,9.910071942446042614e-01
4.172461752433936043e-03,9.910071942446042614e-01
4.172461752433936043e-03,9.922062350119904561e-01
5.563282336578581101e-03,9.922062350119904561e-01
5.563282336578581101e-03,9.964028776978417490e-01
6.954102920723227027e-03,9.964028776978417490e-01
6.954102920723227027e-03,9.988009592326139163e-01
8.344923504867872086e-03,9.988009592326139163e-01
8.344923504867872086e-03,9.994004796163069582e-01
1.112656467315716220e-02,9.994004796163069582e-01
1.112656467315716220e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
